text,category,urgency,task,split,source_dataset,event,language,tweet_id,original_label,source_file,label
mahiya naman sana ang mga mag babalak mag bulsa ng mga tulong galing ibang bansa. .. wag nyo nang pagtangkain. PLEASE,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-1,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Hmm. The assemble earlier about the Philippines made me realoze how bad the situation is. Awh my poor home,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-2,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Malaking sampal sa gobyerno to,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-3,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Two days back in Manila but my thoughts are still in #Tacloban,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-4,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
The PH Gov't is so disappointing. PNOY pointing blame to others what kind of a President are you? Shame on you!,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-5,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
What Yolanda made to their house. Poor children,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-6,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
I can not imagine the horrors of what the people (both children and adults) i met earlier today had experienced.,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-7,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
Nakakaloka! Naiyak naman ako sa #ggv,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-8,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
malas yata talaga ang 13 dahil 2013 last year at snake pa hehe ang daming sakunang nangyari ang 2014 bagong pagasa,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-9,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
And I just wanna scream WWWHHHAAAAATT NNNNOOWWWWW I just can't figure it out,negative,moderate,sentiment,train,SEACrowd/typhoon_yolanda_tweets,2013_typhoon_yolanda,fil,yolanda-train--1-10,-1,https://raw.githubusercontent.com/imperialite/Philippine-Languages-Online-Corpora/master/Tweets/Annotated%20Yolanda/train/-1.txt,0
